Title,Author,ISBN Valid,Publisher,Subjects,i
Akhenaton : du mystère à la lumière /,"Gabolde, Marc, 1957-",207030745X; 9782070307456,Gallimard,Akhenaton--(pharaon),14837
"La guerre de l'opium, 1839-1842 /","Lovell, Julia, 1975-",9782283028193; 2283028191,Buchet Chastel,Chine--1840-1842 (Guerre de l'opium),14838
Shining /,"King, Stephen, 1947-",9782253151623; 2253151629,Librairie générale Française,,14839
[Ennui] /,"Ohba, Tsugumi",9782505000327; 2505000328,Kana,Bandes dessinées; Mangas,14840
Why horror seduces /,"Clasen, Mathias F.",0190666501; 9780190666507; 019066651X; 9780190666514,Oxford University Press,"Horror tales, American--History and criticism; American fiction--20th century--History and criticism; American literature--Psychological aspects; Films d'horreur--Etats-Unis--Histoire et critique; Films d'horreur--Aspect psychologique; Horreur--Aspect psychologique",14841
The Satanic verses /,"Rushdie, Salman",0670817570; 9780670817573,Penguin Books; Viking,,14842
A raisin in the sun /,"Hansberry, Lorraine 1930-1965",9781408140901; 140814090X,Methuen Drama,,14843
Autisme : comprendre pour mieux accompagner /,"Gros, Karine 1971-....",9782850864650; 285086465X,ESF Editeur,Autisme; Autistes; Socialisation; Intégration sociale; Adaptation scolaire; Insertion professionnelle,14844
L'art brut /,"Peiry, Lucienne",9782080413635; 2080413635,Flammarion,Art brut,14845
Guerre et spray /,Banksy,9782862276731; 2862276731,Ed Alternatives,graffiti; art--milieu urbain,14846
Histoire des croisades et du royaume franc de Jérusalem /,"Grousset, René",2262009317; 9782262009311; 2262009325; 9782262009328,Perrin,croisades,14847
Psychologie du sport et de l'activité physique /,"Weinberg, Robert Stephen",2891301668; 9782891301664; 2711411117; 9782711411115,Vigot; Edisem,sport--* psychologie; activités physiques--* psychologie,14848
Le mur de Berlin : 13 août 1961 - 9 novembre 1989 /,"Taylor, Frederick",9782262033996; 2262033994,Perrin,Berlin (Allemagne)--Berliner Mauer; Berlin (Allemagne)--1989 (Chute du Mur); Berlin (Allemagne)--1948-1949 (Blocus),14849
Mushishi /,"Urushibara, Yuki",9782505001027; 2505001022; 9782505001515; 2505001510; 9782505001669; 2505001669; 9782505001904; 2505001901; 9782505002024; 2505002029; 9782505002727; 250500272X; 9782505003342; 2505003343; 9782505003151; 2505003157; 9782505003632; 2505003637; 978250500710,Kana,Mangas; Bandes dessinées,14850
Sengo /,"Yamada, Sansuke",9782203202597; 2203202599; 9782203202757; 2203202750; 9782203202856; 2203202858; 9782203202863; 2203202866; 9782203202870; 2203202874; 9782203202887; 2203202882; 9782203202894; 2203202890,Casterman,,14851
Une couronne de lierre et de verre /,"Legrand, Claire",9782073027689; 2073027687,Olympe,,14852
Mieux vivre avec un diabète /,"Slama, Gérard",9782738126078; 2738126073,O Jacob,diabète; diabète--mode de vie--santé; diabète--vie quotidienne,14853
"Musicophilia : la musique, le cerveau et nous /","Sacks, Oliver W., 1933-2015",9782020969765; 2020969769,Ed du Seuil,musique--* psychologie; Musique; Cerveau; Physiologie; Philosophie; Spiritualité; Musicothérapie,14854
Starik puteshestvuet /,"Limonov, Ėduard, 1943-2020",9785604360651; 5604360651,Individuum,,14855
La marche irrésistible du nouvel ordre mondial : l'échec de la tour de Babel n'est pas fatal /,"Hillard, Pierre",9782755405545; 2755405546,F-X de Guibert,Relations internationales; Régionalisme (politique internationale); Mondialisme; Communauté internationale,14856
Idées reçues sur le burn-out /,"Delgènes, Jean-Claude",9791031804774,Le Cavalier Bleu,Épuisement professionnel,14857
"Quand les femmes témoignent : histoire orale, histoire des femmes, mémoire des femmes /",,9782866005627; 2866005627,Publisud,femme--histoire orale--mémoire--[congrès]; histoire des femmes (discipline)--histoire orale--[congrès],14858
Les fleurs du mal ; suivies de Petits poèmes en prose ; Curiosités esthétiques ; L'art romantique ; Journaux intimes (extraits) ; La Fanfarlo /,"Baudelaire, Charles",2266083260; 9782266083263,Pocket,,14859
Les champs d'honneur /,"Rouaud, Jean",2707315656; 9782707315656,Ed de Minuit,,14860
Fables /,"La Fontaine, Jean de, 1621-1695",9782253010043; 2253010049,Librairie générale française,,14861
Captive /,"Rivens, Sarah",9782017206934; 2017206938; 9782017207009; 2017207004; 9782017206941; 2017206946; 9782017206958; 2017206954,Hachette livres,Roman,14862
"L'autonomie en fin de vie : le débat allemand, des pistes pour la Suisse, un enjeu pour nous tous /","Borasio, Gian Domenico, 1962-",9782889152223; 2889152227,Presses polytechniques et universitaires romandes,"Euthanasia--legislation & jurisprudence; Suicide, Assisted--legislation & jurisprudence; Terminal Care--trends; Personal Autonomy; Attitude to Death; Accompagnement de la fin de vie; Mort; Aide au suicide; Euthanasie; Fin de vie; Germany; Switzerland; Soins palliatifs - Fin de vie - Mort",14863
Médiation thérapeutique avec le cheval : expérience institutionnelle de l'équithérapie /,,9782749266671; 274926667X,Erès,Zoothérapie; Équithérapie; Enfants--Psychiatrie,14864
Fool Night /,"Yasuda, Kasumi",9782344052693; 2344052690; 9782344052709; 2344052704; 9782344052716; 2344052712; 9782344056578; 2344056572; 9782344058893; 2344058893; 9782344061534; 2344061533; 9782344063736; 2344063730,Glénat,,14865
My capricorn friend /,Otsuichi,9782413040569; 2413040560,Delcourt,Mangas,14866
La danse du soleil et de la lune /,"Matsuura, Daruma",9791032710951; 9791032711330; 9791032711743; 9791032712740; 9791032713723; 9791032716779,Ki-oon,Mangas,14867
Créatures fantastiques /,Kaziya,9782372873147; 2372873148; 9782372873154; 2372873156; 9782372874366; 2372874365; 9782372874540; 2372874543; 9782372875516; 2372875515,Komikku,Mangas,14868
Neuromancien /,"Gibson, William, 1948-",9791030703658,Au diable Vauvert,,14869
Ame rouge /,"Díaz Canales, Juan",9782205055641; 220505564X,Dargaud,Bandes dessinées policières,14870
Sports et handicaps : le handisport /,"Noël, Jean-Philippe",9782330005153; 2330005156,Actes Sud Junior,handicap--sport--France; handicapé physique--sport--France,14871
Manuel d'enseignement de psychomotricité,,9782353271290; 2353271294; 9782353273041; 2353273041; 9782353273096; 2353273092,Solal; De Boeck Supérieur,Psychomotricité; Éducation psychomotrice; Troubles psychomoteurs; Psychomotor Disorders,14872
Les Noirs américains : des champs de coton à la Maison Blanche /,"Bacharan, Nicole",9782262032753; 2262032750,Perrin,Noirs américains--Histoire; Noirs américains--Droits,14873
Le Ku Klux Klan /,"Ameur, Farid",9782035845801; 2035845807,Larousse,Ku-klux-klan (Etats-Unis),14874
Beck /,"Sakuishi, Harorudo",2847894519; 9782847894516; 2847894667; 9782847894660; 2847895620; 9782847895629; 9782847896244; 2847896244; 9782847897821; 2847897828; 9782847898095; 2847898093; 9782847899122; 284789912X; 9782756006758; 2756006750; 2756000744; 9782756000749; 978275600177,Delcourt,Bandes dessinées; Mangas,14875
Slam Dunk /,"Inoué, Takehiko",9782505124160; 2505124167; 9782505124177; 2505124175; 9782505124184; 2505124183; 9782505124191; 2505124191,Kana,Mangas,14876
Sémiologie : guide d'observation médico-chirurgicale /,"Garnier, Marc",9782356401045; 2356401040,S-éditions,Diagnostic Techniques and Procedures,14877
Les psychotraumatismes /,"Tarquinio, Cyril",9782100705207; 2100705202,Dunod,"Traumatisme psychique; Stress Disorders, Traumatic",14878
"Raisonnement et démarche clinique infirmière, projet de soins infirmiers : UE 3.1, UE 3.2  /","Boudier, Christiane",9782294711817; 2294711815,Elsevier Masson,"Nursing, Practical--education; Nursing Process--standards; Nursing Diagnosis--methods; pratique professionnelle--soins infirmiers - enseignement--manuel; processus de soins infirmiers--[manuel]; Professions de santé : formation",14879
Modernist cuisine : art et science culinaires /,"Myhrvold, Nathan",9783836532570; 3836532573,Taschen,cuisine (gastronomie)--[manuel],14880
"Endocrinologie, diabète, métabolisme et nutrition : pour le praticien /","Wemeau, Jean-Louis",9782294715846; 2294715845,Elsevier Masson,Endocrinologie; Diabètes; Troubles du métabolisme; Nutrition; Diabetes Mellitus; Endocrine System Diseases; Nutritional Physiological Phenomena; Metabolism,14881
Biologie humaine : principes d'anatomie et de physiologie /,"Marieb, Elaine Nicpon, 1936",9782761327275; 2761327276,Pearson Education France,biologie humaine--[manuel],14882
La Réforme : (1517-1564)  /,"Léchot, Pierre-Olivier, 1978-",9782130786023; 2130786022,PUF,Réforme,14883
Mathématiques pour la maturité professionnelle : [PEC MP] /,"Favre, Jean-Pierre, actuaire, 1967-",9782940404094; 2940404097,Digilex,Mathématiques; [Manuels d'enseignement],14884
La grève générale de 1918 en Suisse : histoire et répercussions /,,9782889500154; 2889500152,Livreo-Alphil,Grève générale (Suisse ; 1918),14885
L'art urbain : du graffiti au street art /,"Lemoine, Stéphanie",9782070445820; 2070445828,Gallimard,Art dans la rue; Hip-hop; Cultures urbaines (culture populaire); Art urbain; Graffiti,14886
Le Gaffiot de poche : dictionnaire latin-français /,"Gaffiot, Félix",2011679400; 9782011679406,Hachette,Latin (langue)--Dictionnaires français,14887
Pratique du marketing : principaux concepts et outils /,"Courvoisier, François, 1954-",9782606020217; 2606020219,Editions Loisirs et pédagogie,Marketing; Manuels d'enseignement,14888
"Voltaire et l'affaire Calas : les faits, les débats, les enjeux /","Garnot, Benoît 1951-....",9782218971471; 221897147X,Hatier,"Voltaire; Justice; 18e siècle (2e moitié); Calas, Affaire (1761-1762); France",14889
Les Vikings /,"Bauduin, Pierre",9782130801597; 2130801595,Presses universitaires de France,Vikings,14890
Just wanna be your brother /,"Gorman, Nine 1990-...",9782226476036; 2226476032,Albin Michel,,14891
"Construire les compétences individuelles et collectives : agir et réussir avec compétences, les réponses à 100 questions /","Le Boterf, Guy",9782212562255; 221256225X,Eyrolles,Personnel; Formation; Évaluation; Qualifications professionnelles; France; [Guides pratiques et mémentos],14892
Les Noirs américains : de l'esclavage à Black Lives Matter /,"Ndiaye, Pap",9791021050785,Tallandier L'Histoire,Esclavage--États-Unis; Noirs américains--Histoire; Black Lives Matter (mouvement),14893
"Non, mais, moi aussi je peux le faire : créez vos propres oeuvres d'art moderne /","Field, Guy",2019456400; 9782019456405,Hachette,Dessin--Technique,14894
"Le Robert & Collins : dictionnaire français-anglais, anglais-français = Collins Robert French dictionary /",,9782321003182; 2321003189; 9780007331550; 000733155X; 9780007377930; 0007377932; 9780061962998; 0061962996,Dictionnaires le Robert-SEJER; HarperCollins publishers,English language--Dictionaries--French; French language--Dictionaries--English; Français (langue); Anglais (langue); [Dictionnaires anglais]; [Dictionnaires français],14895
La lecture : valeur et déterminants d'une pratique /,"Barth-Rabot, Cécile 19..-....",9782200635190; 2200635192,Armand Colin,Livres et lecture--Sociologie,14896
La place /,"Ernaux, Annie",2070377229; 9782070377220,Gallimard,,14897
Noragami /,Adachitoka,9782811618124; 2811618120; 9782811618131; 2811618139; 9782811619060; 2811619062; 9782811619077; 2811619070; 9782811621568; 2811621563; 9782811621575; 2811621571; 9782811623845; 2811623841; 9782811627133; 2811627138; 9782811627362; 2811627367; 978281163005,Pika,Mangas,14898
La cité des ténèbres : les origines /,"Clare, Cassandra",9782266218023; 2266218026; 9782266218030; 2266218034; 9782266218047; 2266218042,Pocket Jeunesse,,14899
Les émotions à l'école /,,2760512908; 9782760512900,Presses de l'Université du Québec,apprentissage (psychologie)--émotion--enseignant; Psychologie de l'apprentissage; Psychologie de l'éducation,14900
L'entraînement de la vitesse /,"Cometti, Gilles",9782702713518; 2702713513,Chiron,entraînement (sport)--vitesse--[manuel],14901
L'ombre des Taliban /,"Rashid, Ahmed",2746701731; 9782746701731,Ed Autrement,Taliban (Afghanistan); Islam; Islamisches Recht; Terrorismus; Afghanistan--1994 / 2000; Afghanistan--* géopolitique--20e s. (fin) / 21e s. (début); Afghanistan,14902
Le passeur /,"Lowry, Lois",9782211205825; 2211205828,L'Ecole des loisirs,Littérature utopique; Totalitarisme; Dystopies; Roman pour la jeunesse,14903
Fallen Angel /,"Creati, Camille",9782017206965; 2017206962,BMR,,14904
Musiciennes : enquête sur les femmes et la musique /,"Ravet, Hyacinthe",9782746730359; 2746730359,Autrement,"interprète (musique, femme)--* sociologie; femme--musique--* sociologie",14905
Nouvelles du monde /,"Charcosset, Amélie",9782278082551; 2278082558,Didier,Littérature française; Français (langue); Apprentissage--Lecture; Lecture--Aspect cognitif; Roman pour la jeunesse,14906
Giant /,"Mikaël, 1974-",9782505066095; 2505066094; 9782505069539; 2505069530,Dargaud,Vérité et mensonge; Bandes dessinées,14907
L'enfant et le sport /,"Durand, Marc, 1952-",9782130589747; 213058974X,Presses universitaires de France,Enfants--Psychologie; Sports pour enfants; Psychomotricité--Enfants; enfant--sport; enfant--motivation--sport; enfant--performance (sport)--talent,14908
Manuel d'entraînement : physiologie de la performance sportive et de son développement dans l'entraînement de l'enfant et de l'adolescent /,"Weineck, Jürgen",2711412989; 9782711412983,Vigot,entraînement (sport) - apprentissage (psychologie)--[manuel]; entraînement (sport)--[manuel],14909
Nutrition du sportif /,"Clark, Nancy",9782711423576; 2711423573,Vigot,Diététique; Sportifs; Nutrition; [Guides pratiques et mémentos],14910
Eurafrique : aux origines coloniales de l'Union européenne /,"Hansen, Peo 19..-....",9782348055560; 2348055562,La Découverte,Communauté européenne--Histoire; Traités de Rome 1957; Géopolitique--Afrique; Colonialisme (idée politique)--Europe--20e siècle; Relations extérieures--Afrique--Europe,14911
100 idées pour en savoir plus sur les personnes avec trisomie 21... et casser les idées reçues /,,9782353451807; 2353451802,Tom Pousse,Trisomie 21; Guides pratiques,14912
Dictionnaire alphabétique et analogique de la langue française /,"Robert, Paul, 1910-1980",,Société du nouveau Littré,analogie (linguistique)--français (langue)--[dictionnaire],14913
Abrégé de musique /,"Platzer, Frédéric",9782729865306; 2729865306,Ellipses,musique--[manuel]; musique occidentale--Moyen-Âge / 20e s.,14914
Doubles-jeux /,"Calle, Sophie, 1953-",2742718648; 9782742718641; 2742718656; 9782742718658; 2742718664; 9782742718665; 2742718672; 9782742718672; 2742718680; 9782742718689; 2742718699; 9782742718696; 2742718702; 9782742718702,Actes Sud,"Photography, Artistic--Exhibitions",14915
